SampleID	study_id	diet	diet_condensed	sterility	probiotic	plant_waste
Bread1	current_study	bread	plant_waste	non_sterile	no	grain
Bread2	current_study	bread	plant_waste	non_sterile	no	grain
Bread3	current_study	bread	plant_waste	non_sterile	no	grain
Bread4	current_study	bread	plant_waste	non_sterile	no	grain
Bread5	current_study	bread	plant_waste	non_sterile	no	grain
Coffee1	current_study	coffee_grounds	plant_waste	non_sterile	no	coffee
Coffee2	current_study	coffee_grounds	plant_waste	non_sterile	no	coffee
Coffee3	current_study	coffee_grounds	plant_waste	non_sterile	no	coffee
Coffee4	current_study	coffee_grounds	plant_waste	non_sterile	no	coffee
Coffee5	current_study	coffee_grounds	plant_waste	non_sterile	no	coffee
Spinach1	current_study	spinach	plant_waste	non_sterile	no	vegetable
Spinach2	current_study	spinach	plant_waste	non_sterile	no	vegetable
Spinach3	current_study	spinach	plant_waste	non_sterile	no	vegetable
Spinach4	current_study	spinach	plant_waste	non_sterile	no	vegetable
Spinach5	current_study	spinach	plant_waste	non_sterile	no	vegetable
Tuna1	current_study	tuna	animal_waste	non_sterile	no	na
Tuna2	current_study	tuna	animal_waste	non_sterile	no	na
Tuna3	current_study	tuna	animal_waste	non_sterile	no	na
Tuna4	current_study	tuna	animal_waste	non_sterile	no	na
Tuna5	current_study	tuna	animal_waste	non_sterile	no	na
Gainesville1	current_study	gainesville	plant_waste	non_sterile	no	gainesville
Gainesville2	current_study	gainesville	plant_waste	non_sterile	no	gainesville
Gainesville3	current_study	gainesville	plant_waste	non_sterile	no	gainesville
Gainesville4	current_study	gainesville	plant_waste	non_sterile	no	gainesville
Gainesville5	current_study	gainesville	plant_waste	non_sterile	no	gainesville
Manure1	current_study	cow_manure_probiotic	animal_waste	non_sterile	no	na
Manure2	current_study	cow_manure_probiotic	animal_waste	non_sterile	no	na
Manure3	current_study	cow_manure_probiotic	animal_waste	non_sterile	no	na
Manure4	current_study	cow_manure_probiotic	animal_waste	non_sterile	no	na
Manure5	current_study	cow_manure_probiotic	animal_waste	non_sterile	no	na
ManureControl1	current_study	cow_manure	animal_waste	non_sterile	no	na
ManureControl2	current_study	cow_manure	animal_waste	non_sterile	no	na
ManureControl3	current_study	cow_manure	animal_waste	non_sterile	no	na
ManureControl4	current_study	cow_manure	animal_waste	non_sterile	no	na
ManureControl5	current_study	cow_manure	animal_waste	non_sterile	no	na
InitialLarvae1	current_study	gainesville_initial	plant_waste	non_sterile	no	gainesville
InitialLarvae2	current_study	gainesville_initial	plant_waste	non_sterile	no	gainesville
InitialLarvae3	current_study	gainesville_initial	plant_waste	non_sterile	no	gainesville
EC1	current_study	na	na	na	na	na
EC2	current_study	na	na	na	na	na
EC3	current_study	na	na	na	na	na
MockCommunity	current_study	na	na	na	na	na
