SampleID	study_id	diet	diet_condensed	sterility	probiotic	plant_type	control
SRR7269218	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269219	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269220	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269221	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269222	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269223	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269224	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269225	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269226	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269227	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269228	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269229	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269230	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269231	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269232	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269233	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269234	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269235	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269236	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269237	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269238	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269239	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269240	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269241	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269242	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269243	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269244	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269245	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269246	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269247	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269248	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269249	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269250	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269251	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269252	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269253	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269254	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269255	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269256	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269257	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269258	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269259	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269260	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269261	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269262	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269263	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269264	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269265	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269266	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269267	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269268	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269269	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269270	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269271	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269272	bruno2019	fish_meal	animal_product	non_sterile	no	na	no
SRR7269273	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269274	bruno2019	fruits_vegetables	plant_product	non_sterile	no	fruit_vegetable	no
SRR7269275	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269276	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269277	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269278	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269279	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
SRR7269280	bruno2019	gainesville	plant_product	non_sterile	no	gainesville	no
