from	to	interaction_count	edge_betweenness
455	592	1.01	1.77521367521368
455	685	1.01	4.59429011905185
455	1477	0.69	10.5328879643163
455	2765	1.01	1.4369352606571
455	2893	1.01	4.42576459670467
455	3606	1.01	1.92430709934473
455	4533	1.01	3.77769194662315
455	5585	1.01	1.95059422859492
455	6353	1.01	1.2
455	7632	0.78	21.4477356845725
455	7847	0.7	9.13115259215835
455	7907	1.01	1
455	7977	0.94	10.9821053529029
455	8513	1.01	5.04050242858946
455	11011	1.01	5.85408927023126
455	9025	0.75	11.3680465794081
455	9286	0.82	12.2385336815552
493	957	1	7.22615535858315
493	1383	0.53	7.92108350586611
493	1465	0.86	9.65654474341844
493	1763	0.66	30.8188146228892
493	2002	0.66	14.8377843965424
493	5088	0.98	9.64164742311614
493	5111	1.01	3.84880882212118
493	5819	1.01	3.7935658480853
493	6931	0.69	17.7174790509107
493	7067	1.01	4.16261346713292
493	7132	1.01	6.79784695417809
493	8014	1.01	4.95181493754148
493	10999	1.01	4.39322621508808
493	11276	1	3.70595167926404
589	1353	1.01	1.59775197222006
589	2001	0.96	2.85014545094888
589	2450	1.01	1.71756174134904
589	3418	1.01	3.34754564633295
589	4770	1.01	2.27897536918058
589	7632	1.01	27.8567894975808
589	8494	1.01	2.17597832476562
589	9455	1	2.25709317966778
589	10425	1	1
589	11394	1.01	1.59775197222006
589	11797	0.9	15.1669738578445
592	685	1.01	4.20783311200661
592	1477	0.83	8.443593160475
592	2765	1.01	2.25006379878564
592	2893	1.01	6.39015298609306
592	3606	1.01	2.73743563747327
592	4533	1	3.27780294673415
592	5585	1.01	2.4717867136461
592	6353	1.01	1.97521367521368
592	7907	1.01	1.77521367521368
592	7977	0.99	10.9489923796998
592	8513	1.01	7.84138862572566
592	11011	1.01	5.82381563128326
592	9025	0.55	8.14758552600581
592	9286	0.5	12.5203025459574
685	2765	1.01	3.42740115899228
685	2893	1.01	2.82778414396061
685	3606	1.01	2.61178019916641
685	3976	0.92	5.56359397745431
685	4533	1.01	1.38257575757576
685	5585	1.01	7.99753475138449
685	5942	0.99	4.10190945664276
685	6353	1.01	3.86152814311926
685	7847	0.96	4.54687181176312
685	7907	1.01	4.59429011905185
685	7949	0.85	12.2816623931832
685	7977	1.01	8.24059304620243
685	8513	1.01	6.00988911415382
685	11011	1	1.95
957	1383	1.01	2.04891774891775
957	5088	1.01	1.53571428571429
957	5111	1	3.78263512602694
957	5819	1.01	5.04120264474093
957	6822	1.01	2.48760822510822
957	7067	0.99	4.89120264474093
957	7132	1.01	1.14285714285714
957	9286	0.51	22.5049081610266
957	12727	0.81	13.3920252142707
957	10999	0.89	8.25613100418953
957	11276	0.97	3.52926775057488
1353	2001	0.93	4.18960657991827
1353	2450	1.01	2.39530985913733
1353	3418	1.01	5.68130739194337
1353	4770	1.01	1.79755788691728
1353	7632	1.01	31.0068399173829
1353	8494	1.01	3.67855199131564
1353	9455	1.01	3.6765504542054
1353	10425	1	1.59775197222006
1353	11394	1.01	1
1383	5088	0.98	2.11796536796537
1383	5111	0.89	5.31555407361254
1383	6822	1.01	1.36904761904762
1383	7067	0.63	9.38628519825328
1383	7132	1.01	2.29891774891775
1383	12727	0.79	23.9955233223486
1383	11276	0.53	5.13053705255318
1465	2439	0.84	6.57042784165907
1465	3976	0.7	13.7882296332211
1465	5111	0.93	8.36153564691653
1465	5819	1.01	5.62499754109432
1465	5942	0.71	15.8019357864439
1465	6931	1.01	2.41013439297021
1465	7067	0.96	6.49009054196318
1465	7847	0.99	6.85900140495379
1465	7977	1.01	6.55735999081238
1465	8014	1.01	3.688790766908
1465	11011	1	12.4154063972924
1465	10999	1.01	3.30610149527221
1465	11276	0.98	9.25396609682751
1477	2765	0.75	12.7764823497988
1477	3066	0.98	12.4256424225572
1477	3606	0.74	15.3801379809716
1477	5111	0.63	17.1657951986364
1477	5585	0.82	10.9890351411963
1477	5819	0.64	11.5188646727942
1477	6353	0.66	11.0209832024116
1477	7067	0.69	12.8786049325345
1477	7907	0.64	10.5328879643163
1477	8014	0.8	10.5902219585577
1477	9025	0.97	5.39521715294973
1477	9286	1	6.39854862445121
1477	12727	1	9.7699261535415
1477	11276	0.64	17.2666114111139
1763	1767	1.01	5.7008658008658
1763	2439	0.62	9.90062291927304
1763	7674	1.01	11.089107747195
1763	7949	0.58	25.5064358727974
1767	2439	0.57	7.84009627699978
1767	7674	1.01	8.02978760648851
1767	7847	0.63	15.4600634722656
1767	7949	0.99	13.4662304684044
1767	7977	0.55	22.2341044595258
1970	2002	0.93	44.6411927652341
1970	2450	0.84	21.9425676044354
1970	4770	0.78	20.4127962860685
1970	9286	0.81	21.792456052296
1970	9455	0.94	21.2714372657943
1970	12727	0.82	17.6574380530538
2001	2450	1.01	4.01181188154181
2001	3333	1.01	21.4348355449461
2001	3418	0.98	6.67000554702168
2001	4770	1.01	5.18970155352859
2001	8494	1.01	4.09447644649258
2001	9455	1.01	3.66355606758832
2001	10425	0.95	2.85014545094888
2001	11394	0.91	4.18960657991827
2001	11797	1.01	8.2790075193616
2002	2439	0.58	28.7518911735101
2002	3066	0.74	13.3317583815691
2002	5111	0.68	10.0716983794444
2002	5819	0.58	10.0769171359229
2002	7067	0.8	10.4242364832422
2002	8014	0.96	10.8309547007945
2002	9025	0.65	11.5182467672074
2002	9286	0.76	14.4000858237814
2002	12727	0.92	11.0166872099826
2002	11276	0.72	10.2038934939278
2439	6931	0.74	7.63761733453963
2439	7847	0.52	7.52523652332059
2439	7949	0.98	13.2890371931906
2439	7977	1.01	8.51094582156042
2439	11011	1	11.4229830964721
2450	3418	1.01	3.68817403526706
2450	4770	1.01	1.56141362783154
2450	7632	1	19.7540877726681
2450	8494	1.01	2.56718133287901
2450	9455	1.01	1.34825581395349
2450	10425	1	1.71756174134904
2450	11394	1.01	2.39530985913733
2450	11797	0.86	15.5563616613731
2765	2893	1.01	3.04885847131646
2765	3606	1.01	1.40165755297334
2765	4533	1.01	2.90833916309543
2765	5585	1.01	2.1544620998541
2765	5942	0.59	10.518379040894
2765	6353	1.01	1.18253968253968
2765	7632	0.77	19.5167065328528
2765	7847	0.78	7.47978934045651
2765	7907	1.01	1.4369352606571
2765	7977	0.97	9.24158649152607
2765	8513	1.01	3.85429269317427
2765	11011	1	4.41887046905735
2765	9286	0.79	15.7870692265529
2893	3418	0.56	27.2547361821523
2893	3606	1.01	2.39422744175297
2893	3976	0.91	7.13547441692308
2893	4533	1.01	3.29075924075924
2893	5585	1	6.75148039431587
2893	5942	1.01	4.54018320429588
2893	6353	1.01	3.56631878877678
2893	7632	0.57	20.6963184705551
2893	7847	0.64	10.046644902501
2893	7907	1.01	4.42576459670467
2893	7949	0.95	18.0501400543982
2893	7977	1	14.7321154544078
2893	8513	1.01	2.85849067599068
2893	11011	1	4.26249967831916
3066	9025	0.86	3.24797727417754
3066	9286	1	13.9479300320666
3066	12727	1	11.3891231710852
3333	3418	0.55	16.0379633479588
3333	3976	1	9.45152061858545
3333	5942	1	12.6793545142834
3333	6931	0.59	59.0313402802061
3333	7949	1.01	19.0645853669377
3333	8494	0.6	19.6668890824185
3333	9455	0.98	20.025112917407
3333	11797	1.01	4.03344499018369
3418	4770	0.94	5.6827168374743
3418	7632	1.01	15.4214152455921
3418	8494	1.01	1.41878787878788
3418	8513	0.99	14.099361676447
3418	9455	1.01	3.15958845076492
3418	10425	1	3.34754564633295
3418	11394	1.01	5.68130739194338
3418	11797	1	6.73346955257909
3606	4533	1.01	2.15230201177733
3606	5585	1.01	3.02000664303022
3606	5942	0.54	7.9575177209846
3606	6353	1.01	1.58419723551302
3606	7632	0.58	20.5965367903146
3606	7847	0.71	6.95614771146193
3606	7907	1.01	1.92430709934473
3606	7977	1	9.30566369550059
3606	8513	1.01	3.19299200555779
3606	11011	1	3.82938485641273
3976	4533	0.77	6.4296335218826
3976	5942	1.01	1.57303741035084
3976	6931	1.01	9.78705916447213
