name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
455	094226930fb6d71f02c7b6124105e94b	0.0191054683717415	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium; s__	#3D3D8C	Bacillus_P_294101	#D100A2	Bacillaceae_H_294103	#F13BBE	Bacillales_B_306089	#CA6575	Bacilli_A	#BB8722	Bacillota_I	#B6860D
493	09f558ae9bced6d66b0039693b77f8af	0.0263708375348488	#8AE68A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Peptoniphilaceae; g__Peptoniphilus_B_226807; s__Peptoniphilus_B_226807 stercorisuis	#9B267E	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
589	0bfa03f19d0e7a70cee347f2d8677b00	0.00274163767019925	#E68A8A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Comamonas_F_589250	#F37E6E	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
592	0c1666ef8973b7ee17183c4b76122937	0.00928944587334968	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Leucobacter	#FCCE00	Thermoactinomyces_A	#A15577	Thermoactinomycetaceae_367745	#5D2265	Thermoactinomycetales_367745	#0066A7	Bacilli_A	#BB8722	Bacillota_I	#B6860D
685	0e1830abfbd91acfcc2ba30035b6f80f	0.00845546376789266	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium	#FD00E0	Vagococcus_A	#806D6A	Vagococcaceae	#754D8A	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
957	136c7191e0643043625a1268129bac61	0.00763054692758597	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae	#F6E29D	Fusobacterium_A	#948389	Fusobacteriaceae	#9849A5	Fusobacteriales	#7690A5	Fusobacteriia	#1CA191	Fusobacteriota	#BE6DDF
1353	1b158b8b2922d4fcad5d9cea607cbb7d	0.000915872825038534	#E68A8A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium; s__Myroides aquimaris	#AB1663	Escherichia	#B68576	Enterobacteriaceae_A_725029	#628B91	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
1383	1b9f893a52451bbb0fdf97fb5d68635a	0.0019510243317548	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Sporosarcina	#FD8F22	Peptostreptococcus	#3D5816	Peptostreptococcaceae_256921	#7F88E6	Peptostreptococcales	#EF605D	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
1465	1d57d5466a56074773b6c65825876ffd	0.0198408533472233	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Vagococcaceae; g__Vagococcus_A; s__Vagococcus_A lutrae	#89940D	Vagococcus_B	#75975A	Vagococcaceae	#754D8A	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1477	1d96b995fa46327d3269fa96199d628e	0.0451032286130756	#8AE68A	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium_A	#BD837D	Erysipelothrix	#0D93D2	Erysipelotrichaceae	#945F7F	Erysipelotrichales	#9475FB	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1763	236aa9c31de795e40a417cd58e8f9619	0.0101383113078339	#8A8AE6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334; g__Proteus	#90EA93	Unknown	#555555	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
1767	238736900471bfe9cdfa1bbdf0cd8151	0.00654477571088395	#8A8AE6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334	#823238	Sporosarcina	#6885AA	Planococcaceae	#9455C3	Bacillales_A	#637158	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1970	27bbeb5ba76402142c02f75a17004f43	0.0327455933007974	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Companilactobacillus	#E516FF	Lacrimispora	#AA71C2	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2001	2889359ec65934408e0647efcba453df	0.0046900414473148	#E68A8A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Peptostreptococcus; s__Peptostreptococcus russellii_A	#F70016	Unknown	#555555	Tissierellaceae	#512E88	Tissierellales	#6A00A5	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2002	2892f46388f6758c561d38afb6f769b7	0.047556026104528	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Lapidilactobacillus	#FA5CBE	Anaerococcus	#9E0056	Peptoniphilaceae	#512A53	Tissierellales	#6A00A5	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2439	3104b6d0a19cead576153e29ab3d5548	0.0165789162056343	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Latilactobacillus	#CEE5FB	Comamonas_F_589250	#6A0047	Burkholderiaceae_A_595421	#B4837E	Burkholderiales	#1C9ABE	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
2450	313aec37577cdcd2b0ffd21d43eb69ac	0.00861481374246062	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Weissella	#00B798	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
2765	37a90abf181b684611b3eabfd5dfa715	0.0170651183064933	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium	#941C1C	Proteus	#774DCC	Enterobacteriaceae_A_732334	#0068FE	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
2893	3a6b6eaabaee9f111ba41af0866179ef	0.0323891382599327	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium	#45FF0D	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
3066	3dc5c997cd195d05fd8427b36f3561a8	0.000119647547678432	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Bacillus_P_294101	#BAE9BE	Leucobacter	#785C0D	Microbacteriaceae	#82494D	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
3333	43cf372b941ae336b90f610d4073571e	0.0445230771009527	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Vagococcaceae; g__Vagococcus_B	#840098	Brevibacterium	#F43216	Brevibacteriaceae	#A97753	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
