from	to	interaction_count	edge_betweenness
149	4040	0.52	63.8372957454959
149	4581	0.69	67.8191537358905
149	6993	0.55	58.9491922867238
149	9052	0.53	58.9491922867238
455	655	1	3.96262950901131
455	664	0.8	7.9804073873188
455	1593	1	5.22497711615359
455	1715	0.61	8.09955289474067
455	1967	1	3.78350991114149
455	1970	1	5.40743456558085
455	2450	0.97	6.98680510083434
455	3228	1	4.41970549115011
455	3581	1	5.66760850263311
455	5492	0.99	7.63776552119424
455	7103	0.99	10.5280530769977
455	8370	1	10.9528465465469
455	10014	0.62	15.4852599657252
455	10176	0.77	8.55878499450528
455	10207	0.59	7.55288447882015
455	12239	0.99	11.129925474471
455	11220	0.5	12.7476108510932
455	12279	0.63	16.3963787425875
589	647	0.54	5.7135238272909
589	1467	0.52	6.77961247872421
589	1967	0.78	17.1840268122638
589	2002	0.91	3.55078798884723
589	2735	0.5	4.64872978767766
589	2843	0.6	7.06433449591344
589	2921	0.99	3.25749169841241
589	3228	0.93	12.6028044063194
589	3332	0.52	5.94917261477922
589	3990	0.95	2.47420741023682
589	5528	0.62	5.64397825497119
589	5555	1	4.59538725773948
589	6246	0.55	5.7518703628633
589	6909	0.55	5.44282099059239
589	7132	1	7.73139349591728
589	9437	0.53	54.204991047695
589	10176	0.52	5.40667998383406
589	11220	0.57	10.0028633303688
589	11276	0.52	5.09829910671357
589	12279	0.54	6.80440115440115
589	12131	0.56	5.7518703628633
647	664	0.89	6.17581987411689
647	957	0.86	7.38951397353145
647	1467	0.98	3.2047212633099
647	1715	0.69	8.9994372086888
647	2002	0.97	5.72908051658172
647	2735	1	1.97059097343727
647	2893	0.84	40.7343869633961
647	2921	1	6.4007084202617
647	3332	1	1.30725806451613
647	3990	0.59	6.61321851516819
647	4007	1	2.38082728512209
647	5208	0.71	9.06024100420448
647	5528	1	1.24059139784946
647	5555	0.53	4.84989651395562
647	6246	1	1.11559139784946
647	6909	0.98	2.02261909237716
647	7977	0.85	7.6550614207788
647	9455	0.99	2.38082728512209
647	10014	0.5	9.21537803286636
647	10176	0.91	4.13210550288159
647	10664	1	8.09981290350337
