name	asv_id	betweenness	color	taxon	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
149	03172d047de19fbd134c34b1da69c9f8	0.0237456732723514	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_D; f__Amphibacillaceae	#B9AADC	Unknown	#555555	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
455	094226930fb6d71f02c7b6124105e94b	0.00982818992118553	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Bacillus_P_294101	#FB73A5	Bacillus_P_294101	#D100A2	Bacillaceae_H_294103	#F13BBE	Bacillales_B_306089	#CA6575	Bacilli_A	#BB8722	Bacillota_I	#B6860D
589	0bfa03f19d0e7a70cee347f2d8677b00	0.0145810738480242	#8AE68A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium	#FFCE26	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
647	0d4f8c7adeb1a4f9347c6b77a8b3f5f8	0.0113721039991046	#8AE68A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_142742; s__	#FD1698	Blautia_A_142742	#BF3D16	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
655	0d8cfebb1a306a616fcb0b57b4f283b7	0.0184342724616063	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium; s__Scrofimicrobium canadense	#3D3D8C	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
664	0dae7f027dcb4343cccfdc3e9f3af153	0.0227896575075646	#8AE68A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Sedimentibacteraceae; g__Sedimentibacter; s__Sedimentibacter hydroxybenzoicus	#D88DFB	Sedimentibacter	#0084B6	Sedimentibacteraceae	#FB3856	Tissierellales	#6A00A5	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
692	0e3c256f733f8976de04a25593cc6bf9	0.197201016556222	#E68A8A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309	#795526	Unknown	#555555	Oscillospiraceae_88309	#A122E2	Oscillospirales	#B673E4	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
880	11addefd8df52115701b0fcfe23646c2	0.0040594121318931	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Micrococcaceae; g__Enteractinococcus; s__Enteractinococcus coprophilus	#FD00E0	Enteractinococcus	#D053C7	Micrococcaceae	#72166C	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
957	136c7191e0643043625a1268129bac61	0.0136947797898405	#8AE68A	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium_A	#FA0062	Fusobacterium_A	#948389	Fusobacteriaceae	#9849A5	Fusobacteriales	#7690A5	Fusobacteriia	#1CA191	Fusobacteriota	#BE6DDF
1467	1d5c469bc3a0da4471c67e502fa56e36	0.0142171218096282	#8AE68A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Eubacteriales; f__Eubacteriaceae; g__Eubacterium_O_258270	#FC2E16	Eubacterium_O_258270	#AE6277	Eubacteriaceae	#002AAD	Eubacteriales	#621660	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
1593	1fe3f1bfd255619b3db537a8c88130d4	0.00204494781914804	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium; s__Corynebacterium stationis	#2AFE26	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
1715	228ae07feb0040900651f7580168bd27	0.00351118746946948	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae; g__Thomasclavelia; s__Thomasclavelia ramosa	#B4E8FD	Thomasclavelia	#4F266C	Coprobacillaceae	#353869	Erysipelotrichales	#9475FB	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1763	236aa9c31de795e40a417cd58e8f9619	0	#E68A8A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	#A81CFE	Unknown	#555555	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
1837	250bc8277ae93baf8767deca44149418	0.000549774370570506	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Sporosarcina; s__Sporosarcina ureilytica	#FDA495	Sporosarcina	#6885AA	Planococcaceae	#9455C3	Bacillales_A	#637158	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1967	27b4bf43c4374efaf423108a0099e79a	0.00799395655676266	#8A8AE6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Halopseudomonas_650606; s__Halopseudomonas formosensis	#86A362	Halopseudomonas_650606	#606A32	Pseudomonadaceae	#6A727D	Pseudomonadales_A_650611	#6D5F4F	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
1970	27bbeb5ba76402142c02f75a17004f43	0.00130590560274932	#8A8AE6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lacrimispora	#16FAB3	Lacrimispora	#AA71C2	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
