from	to	interaction_count	edge_betweenness
455	1767	0.63	16.7998627798091
455	1837	0.9	4.40476190476191
455	1967	0.86	71.8423691158732
455	10425	0.5	44.1724394445362
455	3627	0.5	137.627026524577
455	3710	0.93	143.990292966383
455	6007	0.87	12.7190476190476
455	7622	0.73	10.452380952381
589	8153	0.53	69
647	654	0.66	32.1601117742896
647	655	0.67	10.2578726664994
647	692	0.88	2.25880647130647
647	952	0.91	1.93829365079365
647	957	0.89	2.25880647130647
647	1467	0.68	4.65248410054456
647	1763	0.71	9.12600709478567
647	2338	0.84	1.46907993966817
647	2439	0.67	3.50470586427654
647	2450	0.54	14.5850680338466
647	2765	0.77	1.97947746697747
647	2921	0.74	3.28554953595337
647	3198	0.76	5.14030502855276
647	3424	0.62	4.47560702891038
647	3606	0.63	13.1863435165274
647	4786	0.7	4.65248410054456
647	5088	0.85	2.25880647130647
647	5208	0.71	5.96817100262591
647	5819	0.94	1.16666666666667
647	6918	0.92	2.10496031746032
647	7132	0.59	3.03195553331835
647	7892	0.95	1.41666666666667
647	8153	0.76	2.74404761904762
647	9286	0.9	1.45787545787546
647	10088	0.74	16.5325912855412
647	10344	0.54	6.42582163860396
647	10657	0.9	2.10496031746032
654	692	0.53	44.8512416987224
654	952	0.6	44.9884405721282
654	957	0.56	44.8512416987224
654	2170	0.64	214.443526746213
654	2559	0.91	14.0918837708306
654	3990	0.5	231.205521968949
654	5088	0.54	44.8512416987224
654	5819	0.6	35.9950594536395
654	5942	0.74	8.30264564218193
654	6918	0.59	48.8233882514781
654	7132	0.68	20.4771206967957
654	7892	0.54	30.1297678824656
654	8153	0.53	45.0135808047063
654	9455	0.67	23.0762883654188
654	9664	0.67	6.46226076555024
654	10088	0.92	2.15645367704191
654	10657	0.58	48.8233882514781
655	692	0.74	8.78605241957026
655	952	0.77	8.76548964900749
655	957	0.75	8.78605241957026
655	2338	0.55	6.16742597750738
655	5088	0.74	8.78605241957026
655	5819	0.65	10.7102536188803
655	6918	0.76	9.21787060138844
655	7892	0.65	15.1246921307104
655	8153	0.64	10.6427300556597
655	9286	0.65	6.43628411249348
655	10664	0.57	50.18436095796
655	10657	0.75	9.21787060138844
664	6096	0.65	62.3970862257947
664	10927	0.5	6.60291377420533
692	952	1.01	1.30769230769231
692	957	1.01	1
692	1353	0.54	13.5066985196966
692	1467	0.69	5.20356659631024
692	1763	0.65	15.8341160527162
692	2067	0.51	34.7728085272087
692	2338	0.78	2.38212522771346
692	2439	0.68	4.60499764765656
692	2765	0.7	2.59006965256965
692	2921	0.77	4.41828763119146
692	3198	0.6	5.27934728740872
692	3424	0.6	5.34488005908573
692	4786	0.6	5.20356659631024
692	5088	1	1
692	5208	0.68	5.33412182176409
692	5819	0.82	2.07428266178266
692	6918	1.01	1.15384615384615
692	7132	0.53	3.57911261749589
692	7892	0.82	2.61388925402083
692	7977	0.62	9.45879864901604
692	8153	0.8	3.90133477633478
692	9286	0.94	2.11695249195249
692	9455	0.57	4.73547008547008
692	10088	0.68	23.752512765966
692	10344	0.51	6.57166046224888
692	10657	1	1.15384615384615
952	957	1.01	1.30769230769231
952	1467	0.7	4.84972044246409
952	1763	0.65	15.7043802040149
952	2067	0.6	35.5879600423602
952	2338	0.79	2.04646089204913
952	2439	0.68	4.60499764765656
952	2765	0.72	2.59006965256965
952	2921	0.77	4.38257334547718
952	3198	0.61	5.27934728740872
952	3424	0.66	5.34488005908573
