name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
455	094226930fb6d71f02c7b6124105e94b	0.0794987598694307	#E68A8A	094226930fb6d71f02c7b6124105e94b	#941C1C	Bacillus_P_294101	#D100A2	Bacillaceae_H_294103	#F13BBE	Bacillales_B_306089	#CA6575	Bacilli_A	#BB8722	Bacillota_I	#B6860D
589	0bfa03f19d0e7a70cee347f2d8677b00	0	#B8E68A	0bfa03f19d0e7a70cee347f2d8677b00	#3D3D8C	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
647	0d4f8c7adeb1a4f9347c6b77a8b3f5f8	0.0194253038621816	#B8E68A	0d4f8c7adeb1a4f9347c6b77a8b3f5f8	#226500	Blautia_A_142742	#BF3D16	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
654	0d87b112bc336b97248bf4757a668689	0.185784988004973	#8AE6E6	0d87b112bc336b97248bf4757a668689	#FD00E0	Bacillus_A	#5A9D7C	Bacillaceae_G	#B52E5D	Bacillales_B_310392	#A19000	Bacilli_A	#BB8722	Bacillota_I	#B6860D
655	0d8cfebb1a306a616fcb0b57b4f283b7	0.020051791907546	#B8E68A	0d8cfebb1a306a616fcb0b57b4f283b7	#FFCE26	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
664	0dae7f027dcb4343cccfdc3e9f3af153	0	#E68A8A	0dae7f027dcb4343cccfdc3e9f3af153	#45FF0D	Sedimentibacter	#0084B6	Sedimentibacteraceae	#FB3856	Tissierellales	#6A00A5	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
692	0e3c256f733f8976de04a25593cc6bf9	0.0332033428365096	#B8E68A	0e3c256f733f8976de04a25593cc6bf9	#0DF5FD	Unknown	#555555	Oscillospiraceae_88309	#A122E2	Oscillospirales	#B673E4	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
952	1357277b4f47cd8732a2707eca12fcdf	0.0338152757418546	#B8E68A	1357277b4f47cd8732a2707eca12fcdf	#FDD2DD	Leuconostoc_B	#D438AA	Lactobacillaceae	#FF00F0	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
957	136c7191e0643043625a1268129bac61	0.0332033428365096	#B8E68A	136c7191e0643043625a1268129bac61	#F70016	Fusobacterium_A	#948389	Fusobacteriaceae	#9849A5	Fusobacteriales	#7690A5	Fusobacteriia	#1CA191	Fusobacteriota	#BE6DDF
1353	1b158b8b2922d4fcad5d9cea607cbb7d	0.0296754634392241	#B8E68A	1b158b8b2922d4fcad5d9cea607cbb7d	#A81CFE	Escherichia	#B68576	Enterobacteriaceae_A_725029	#628B91	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
1467	1d5c469bc3a0da4471c67e502fa56e36	0.000392102214352854	#B8E68A	1d5c469bc3a0da4471c67e502fa56e36	#FD1698	Eubacterium_O_258270	#AE6277	Eubacteriaceae	#002AAD	Eubacteriales	#621660	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
1648	20f08d623f214b7398683f1926a8b3f6	0	#B8E68A	20f08d623f214b7398683f1926a8b3f6	#16FFB5	Ignatzschineria	#817AF5	Wohlfahrtiimonadaceae	#D840E4	Cardiobacteriales	#2E5886	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
1715	228ae07feb0040900651f7580168bd27	0	#E68A8A	228ae07feb0040900651f7580168bd27	#9B227D	Thomasclavelia	#4F266C	Coprobacillaceae	#353869	Erysipelotrichales	#9475FB	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1763	236aa9c31de795e40a417cd58e8f9619	0.0717689615028994	#B8E68A	236aa9c31de795e40a417cd58e8f9619	#C7F16D	Unknown	#555555	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
1767	238736900471bfe9cdfa1bbdf0cd8151	0.208647164670333	#E68A8A	238736900471bfe9cdfa1bbdf0cd8151	#2681FF	Sporosarcina	#6885AA	Planococcaceae	#9455C3	Bacillales_A	#637158	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1837	250bc8277ae93baf8767deca44149418	0.0037012771155765	#E68A8A	250bc8277ae93baf8767deca44149418	#51474B	Sporosarcina	#6885AA	Planococcaceae	#9455C3	Bacillales_A	#637158	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1967	27b4bf43c4374efaf423108a0099e79a	0.256404165136204	#E68A8A	27b4bf43c4374efaf423108a0099e79a	#FD7200	Halopseudomonas_650606	#606A32	Pseudomonadaceae	#6A727D	Pseudomonadales_A_650611	#6D5F4F	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
