from	to	interaction_count	edge_betweenness
455	9517	0.59	54
455	7067	0.56	106
493	1715	0.66	2.82179487179487
493	1763	0.71	2.82179487179487
493	1767	0.63	2.82179487179487
493	2439	0.71	2.82179487179487
493	2765	0.57	2.82179487179487
493	2893	0.73	7.88846153846154
493	3974	0.6	2.82179487179487
493	4770	0.65	2.82179487179487
493	5942	0.7	2.82179487179487
493	7949	0.67	2.53846153846154
493	8153	0.69	2.82179487179487
493	9437	0.59	15.3551282051282
493	9664	0.68	2.82179487179487
647	4459	0.51	45.8808446455505
647	9437	0.65	77.0603318250377
655	1715	0.94	1.33566433566434
655	1763	0.97	1.33566433566434
655	1767	0.93	1.33566433566434
655	2439	0.95	1.33566433566434
655	2765	0.95	1.33566433566434
655	2893	0.57	6.42051282051282
655	3974	0.81	1.33566433566434
655	4770	0.93	1.33566433566434
655	5819	0.6	19.2587412587413
655	5942	0.95	1.33566433566434
655	7949	0.68	1.07692307692308
655	8153	0.96	1.33566433566434
655	9437	0.53	13.8871794871795
655	9664	0.96	1.33566433566434
692	3066	0.52	11
692	5088	1	25.1083333333333
692	5208	0.79	3.61111111111111
692	6353	0.74	5.92777777777778
692	9052	0.79	2.98333333333333
692	9286	0.87	2.48333333333333
692	9703	1	25.1083333333333
1353	4459	0.77	106
1353	10425	0.51	54
1715	1763	1.01	1
1715	1767	1.01	1
1715	2439	1	1
1715	2765	1	1
1715	2893	0.86	5.58933599790377
1715	3974	1	1
1715	4770	1	1
1715	5819	0.93	20.4615384615385
1715	5942	1	1
1715	7949	0.95	1.25874125874126
1715	8153	1	1
1715	8839	0.82	7.51352407183609
1715	9437	0.8	13.5043246040688
1715	9664	1	1
1763	1767	1.01	1
1763	2439	1	1
1763	2765	1	1
1763	2893	0.89	5.58933599790377
1763	3974	1	1
1763	4770	1	1
1763	5819	0.93	20.4615384615385
1763	5942	1	1
1763	7949	0.94	1.25874125874126
1763	8153	1	1
1763	8839	0.82	7.51352407183609
1763	9437	0.86	13.5043246040688
1763	9664	1	1
1767	2439	1	1
1767	2765	1	1
1767	2893	0.84	5.58933599790377
1767	3974	1	1
1767	4770	1	1
1767	5819	0.91	20.4615384615385
1767	5942	1	1
1767	7949	0.95	1.25874125874126
1767	8153	1	1
1767	8839	0.8	7.51352407183609
1767	9437	0.81	13.5043246040688
1767	9664	1	1
1854	2067	0.8	20.3246031746032
1854	3333	0.54	87.088888888889
1854	5088	0.7	109.624603174603
1854	6353	0.63	9.43333333333333
1854	7132	0.9	22.1666666666667
1854	9052	0.63	7.95793650793651
1854	9286	0.87	7.37460317460317
1854	10795	0.61	84.5174603174603
1854	9703	0.66	109.624603174603
1967	3606	0.68	6.85
1967	11011	0.55	50.3166666666667
1970	11276	0.5	2
2002	3424	0.58	113.803174603175
2002	4459	0.96	30
2002	5233	0.8	74.581746031746
2002	7067	0.75	55.7769841269841
2067	5208	0.52	19.9547619047619
2067	7132	0.83	4.51349206349206
2067	9286	0.5	16.2833333333333
2401	3333	0.59	17.4722222222222
2401	11011	0.52	21.5833333333333
2401	10795	0.55	19.6111111111111
2439	2765	1	1
2439	2893	0.89	5.58933599790377
2439	3974	1.01	1
2439	4770	1	1
2439	5819	0.95	20.4615384615385
2439	5942	1	1
2439	7949	0.97	1.25874125874126
2439	8153	1	1
2439	8839	0.82	7.51352407183609
2439	9437	0.8	13.5043246040688
2439	9664	1	1
2450	3990	0.8	53
2450	11390	0.75	1
2765	2893	0.78	5.58933599790377
2765	3974	1	1
2765	4770	1	1
2765	5819	0.88	20.4615384615385
2765	5942	1	1
2765	7949	0.95	1.25874125874126
2765	8153	1	1
2765	8839	0.79	7.51352407183609
2765	9437	0.8	13.5043246040688
2765	9664	1.01	1
2843	3424	0.96	72.7087301587301
2843	4646	0.64	10.6410256410256
2843	5233	0.55	158.259965368533
2843	11964	0.59	35.9166666666667
2843	7977	0.5	62.3586222671901
2843	12223	0.77	44.6666666666667
2893	3974	0.76	5.58933599790377
2893	4770	0.87	5.58933599790377
2893	5233	0.77	156.757970702216
2893	5819	0.69	101.122303030871
2893	5942	0.88	5.58933599790377
2893	7949	0.72	6.34358974358974
2893	8153	0.86	5.58933599790377
2893	9437	0.79	4
2893	9664	0.87	5.58933599790377
3066	5208	0.81	14.1111111111111
3066	6353	0.68	16.9444444444444
3066	9052	0.63	14.1666666666667
3198	5208	0.55	54
3333	3606	0.95	26.1166666666667
3333	10795	0.96	1.5
3424	3990	0.56	156
3424	4646	0.57	29.765873015873
3424	11964	0.7	8.83333333333333
3424	12223	0.62	9.33333333333333
3606	10795	0.92	29.5666666666667
3826	4786	1	12.8235294117647
3826	5233	0.69	16
3826	9437	0.71	48.8235294117647
3974	4770	1	1
3974	5819	0.84	20.4615384615385
3974	5942	1	1
3974	7949	0.84	1.25874125874126
3974	8153	1	1
3974	8839	0.74	7.51352407183609
3974	9437	0.72	13.5043246040688
3974	9664	1	1
3990	11390	0.53	53
4459	5233	0.94	96.9396681749623
4646	11964	0.81	9.25
4646	7977	0.98	62.7081807081807
4770	5819	0.93	20.4615384615385
4770	5942	1	1
4770	7949	0.95	1.25874125874126
4770	8153	1	1
4770	8839	0.81	7.51352407183609
4770	9437	0.78	13.5043246040688
4770	9664	1	1
4786	5233	0.75	41.1764705882353
5088	5208	0.62	53.127380952381
5088	5819	0.55	333
5088	6353	0.71	70.9861111111111
5088	9052	0.59	34.125
5088	9286	0.83	26
5088	9703	1	1
5208	9052	0.81	6.56587301587302
5208	9286	0.73	5.00238095238095
5208	9703	0.73	53.127380952381
5233	7067	0.63	24
5233	9437	0.51	153.334893779139
5585	11276	0.86	2
5819	5942	0.92	20.4615384615385
5819	7949	0.73	20.7202797202797
5819	8153	0.94	20.4615384615385
5819	8839	0.76	102.801619309931
5819	9437	0.62	239.32300592275
5819	9703	0.58	333
5819	9664	0.93	20.4615384615385
5942	7949	0.96	1.25874125874126
5942	8153	1	1
