from	to	interaction_count	edge_betweenness
455	2843	0.52	32.6885073260073
455	5585	0.54	3.58644688644689
455	5942	0.64	1.97916666666667
455	8480	0.5	30.0792124542125
493	2439	0.95	86.3007936507937
493	3889	0.58	125.934126984127
493	5819	0.78	115.06746031746
493	7949	0.74	1.5
493	7977	0.62	125.934126984127
589	647	0.62	10.6555339741413
589	692	0.55	7.59509912248133
589	1767	0.64	12.3706274401927
589	1967	0.78	4.71929394939355
589	2401	0.95	8.71383079286305
589	2765	0.84	17.8136250493281
589	2843	0.97	11.5290259308447
589	3990	0.98	9.66347342779221
589	5208	0.55	66.6669669818887
589	6931	0.57	80.001106495268
589	8480	0.95	12.5931895450083
589	9052	0.55	160.237208362567
589	9286	0.54	22.1582447102553
589	9517	0.54	78.4510918200573
589	9664	0.59	80.001106495268
647	692	0.64	2.94285714285714
647	1967	0.65	5.11592200902546
647	2401	0.63	3.97905332215677
647	2765	0.88	2.30952380952381
647	2843	0.77	7.04068402861506
647	2893	0.54	2.56349206349206
647	3990	0.76	8.30735069528173
647	8480	0.78	6.60095249578008
647	9052	0.61	17.3095238095238
647	9991	0.58	1.73600446150838
655	1715	0.6	67
692	1967	0.56	5.81452062430323
692	2401	0.59	6.59398296107864
692	2765	0.91	4.27619047619048
692	2843	0.68	9.49929747459125
692	2893	0.7	2.48730158730159
692	3198	0.55	5.25781754477407
692	3974	0.78	28.2722055792312
692	3990	0.64	8.73011249290627
692	7847	0.51	12.0744267219994
692	8480	0.66	7.50382627912006
692	9052	0.73	44.7666666666667
692	9991	0.7	3.88310625855419
692	9437	0.52	36.3367994112395
1252	3606	0.54	67
1353	3262	0.55	11.5880544576197
1353	3974	0.62	24.9795532969446
1353	7674	0.52	42.6800426626513
1715	1763	0.78	6.51060606060606
1715	2067	0.63	64.1479076096317
1715	3335	0.63	133.121478521478
1715	6086	0.76	6.51060606060606
1715	7674	0.65	128.389538201262
1715	7892	0.8	6.51060606060606
1715	10088	0.61	48.2532591929144
1715	9517	0.51	84.1005430772077
1715	10344	0.91	11.7884026888604
1763	3335	0.53	40.9595071595071
1763	6086	1	1
1763	7892	1	1
1763	10088	0.64	25.0900863312932
1763	9517	0.72	84.8619788636435
1763	10344	0.8	11.7368875373453
1767	1967	0.53	17.0330744009926
1767	2067	0.56	16.4329365079365
1767	3198	0.52	24.9148102376197
1767	3974	0.59	12.0156536700015
1767	3990	0.56	14.8400057119332
1767	6931	0.97	12.597833877622
1767	7674	0.63	23.7932209307669
1767	10425	0.58	13.9442711858034
1767	9437	0.58	9.08991147741148
1767	9664	0.92	12.597833877622
1967	2401	0.83	3.79873515333083
1967	2765	0.88	6.24882244192589
1967	2843	0.91	8.93423379431018
1967	3198	0.52	7.01246941464333
1967	3990	0.94	9.47663306170945
1967	5208	0.55	51.8430968507287
1967	7847	0.59	19.1935903711692
1967	8480	0.9	11.5892704243468
1967	9052	0.57	65.9421027248614
1967	9517	0.57	89.0797963705929
1967	9991	0.69	5.91813354307755
1970	2450	0.82	78.9142857142856
1970	5743	0.56	36.9142857142857
1970	10795	0.98	8
2067	2843	0.63	25.9832311079725
2067	3990	0.58	27.1715247587662
2067	7674	0.87	7.77142857142857
2067	8480	0.57	30.991167615909
2401	2765	0.8	7.43989165009078
2401	2843	1	3.6377242926156
2401	3198	0.51	11.7157939399548
2401	3990	1	4.92403381642512
2401	5585	0.59	9.98709558362784
2401	8480	1	5.6377242926156
2401	9052	0.57	61.9468082966626
2401	10425	0.52	11.1884115884116
2401	9286	0.57	11.0181619085316
2401	9517	0.64	61.837253436219
2439	5743	0.92	45.2515873015873
2439	5819	1.01	1.5
2439	6399	0.89	39.8333333333334
2439	10923	0.61	42.0555555555556
2439	7949	0.64	89.3841269841271
2450	2542	0.93	8
2450	4786	0.76	181.247619047619
2450	10795	0.92	59
2542	4786	0.66	59
2765	2843	0.76	14.4871676503925
2765	2893	0.79	3.31349206349206
2765	3198	0.67	3.75186335403727
2765	3990	0.81	16.5798874306122
2765	7847	0.62	4.56547046086924
2765	8480	0.77	13.8383452084666
2765	9052	0.78	25.5
2765	10999	0.65	47.6885281385281
2765	9991	0.95	1.92648065198457
2843	2893	0.56	11.3088323841262
2843	3333	0.59	17.7447170617027
2843	3990	1.01	2.57440476190476
2843	5585	0.67	12.164515377096
2843	7674	0.53	66.3335488826797
