name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
455	094226930fb6d71f02c7b6124105e94b	0.000301522689582391	#8AAEE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium; s__	#3D3D8C	Bacillus_P_294101	#D100A2	Bacillaceae_H_294103	#F13BBE	Bacillales_B_306089	#CA6575	Bacilli_A	#BB8722	Bacillota_I	#B6860D
493	09f558ae9bced6d66b0039693b77f8af	0.0876835160417251	#E68A8A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium; s__Scrofimicrobium canadense	#226500	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
589	0bfa03f19d0e7a70cee347f2d8677b00	0.11672759477552	#8AAEE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306087	#FB8EAA	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
647	0d4f8c7adeb1a4f9347c6b77a8b3f5f8	0.000352984579806796	#8AAEE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae; g__Thomasclavelia; s__Thomasclavelia ramosa	#77323D	Blautia_A_142742	#BF3D16	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
655	0d8cfebb1a306a616fcb0b57b4f283b7	0	#D3E68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Comamonas_F_589250	#00A765	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
692	0e3c256f733f8976de04a25593cc6bf9	0.0269186364412698	#8AAEE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Leucobacter	#FDD2DD	Unknown	#555555	Oscillospiraceae_88309	#A122E2	Oscillospirales	#B673E4	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
1252	1968817365cfc981db2577dae885832b	0	#8AE6AE	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309	#51474B	Moheibacter	#E35A32	Weeksellaceae	#FF4D1C	Flavobacteriales_B_877923	#912E35	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
1353	1b158b8b2922d4fcad5d9cea607cbb7d	0.00276970837114781	#8AE6AE	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium	#0DF5FD	Escherichia	#B68576	Enterobacteriaceae_A_725029	#628B91	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
1715	228ae07feb0040900651f7580168bd27	0.110658739817543	#D3E68A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium; s__Myroides aquimaris	#8E3B9F	Thomasclavelia	#4F266C	Coprobacillaceae	#353869	Erysipelotrichales	#9475FB	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1763	236aa9c31de795e40a417cd58e8f9619	0.0235547412827669	#D3E68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Sporosarcina	#A8C4EF	Unknown	#555555	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
