from	to	interaction_count	edge_betweenness
455	647	1.01	1.60688657747481
455	692	1.01	1
455	801	1.01	1
455	1767	1.01	1
455	2439	1	1
455	2559	1.01	1
455	2765	1.01	1
455	2843	0.98	1.60688657747481
455	2921	1	4.03078947196594
455	3418	1	7.07352451470098
455	3606	1	1
455	4459	1.01	1
455	4646	0.93	4.82815223991694
455	4770	1.01	1
455	4822	1	1
455	5088	1	1
455	7500	1.01	1.04347826086957
455	7674	1	1
455	7977	0.66	4.87163050078651
455	8494	1.01	3.42390289449113
455	9286	0.85	5.82815223991694
455	9455	1.01	1.77355324414148
455	9664	1	1
455	10425	1	1
493	1970	0.88	20.898273948274
493	5585	0.69	4.40238095238095
493	5819	0.88	19.3327505827506
493	7132	0.5	17.9714008214008
589	654	0.66	56.9479567817803
589	2300	1	1.9
589	3198	0.91	8.2206533662416
589	3826	0.9	7.65
589	4646	0.82	21.535099214511
589	7977	0.8	20.4727615521733
589	9286	0.9	21.2017658811776
647	692	1.01	1.60688657747481
647	801	1.01	1.60688657747481
647	1767	1.01	1.60688657747481
647	2300	0.66	19.1714989259107
647	2439	1	1.60688657747481
647	2559	1.01	1.60688657747481
647	2765	0.95	1.60688657747481
647	2843	1	1
647	2921	1	3.22063492063492
647	3418	1	5.86507936507936
647	3606	1	1.60688657747481
647	4459	1.01	1.60688657747481
647	4646	0.99	3.47063492063492
647	4770	1.01	1.60688657747481
647	4822	1	1.60688657747481
647	5088	1	1.60688657747481
647	7500	1.01	1.77248258987389
647	7674	1	1.60688657747481
647	7977	0.91	3.51411318150449
647	8494	1.01	3.63522768081592
647	9286	0.91	3.97063492063492
647	9455	1.01	1.14285714285714
647	9664	1	1.60688657747481
647	10425	1	1.60688657747481
654	1967	0.56	82.4229520479521
654	2300	0.52	114.55793960941
654	11011	0.55	85.9315106462166
654	11276	0.64	29.3515966060084
692	801	1.01	1
692	1767	1.01	1
692	2439	1	1
692	2559	1.01	1
692	2765	1.01	1
692	2843	0.97	1.60688657747481
692	2921	0.99	4.03078947196594
692	3418	1	7.07352451470098
692	3606	1	1
692	4459	1.01	1
692	4646	0.94	4.82815223991694
692	4770	1.01	1
692	4822	1	1
692	5088	1	1
692	7500	1	1.04347826086957
692	7674	1	1
692	7977	0.6	4.87163050078651
692	8494	1.01	3.42390289449113
692	9286	0.82	5.82815223991694
692	9455	1.01	1.77355324414148
692	9664	1	1
692	10425	1	1
801	1767	1.01	1
801	2439	1	1
801	2559	1.01	1
801	2765	1.01	1
801	2843	0.98	1.60688657747481
801	2921	0.99	4.03078947196594
801	3418	1	7.07352451470098
801	3606	1	1
801	4459	1.01	1
801	4646	0.91	4.82815223991694
801	4770	1.01	1
801	4822	1	1
801	5088	1	1
801	7500	1	1.04347826086957
801	7674	1	1
801	7977	0.62	4.87163050078651
801	8494	1.01	3.42390289449113
801	9286	0.83	5.82815223991694
801	9455	1.01	1.77355324414148
801	9664	1	1
801	10425	1	1
1767	2439	1	1
1767	2559	1.01	1
1767	2765	1.01	1
1767	2843	0.97	1.60688657747481
1767	2921	0.99	4.03078947196594
1767	3418	1	7.07352451470098
1767	3606	1	1
1767	4459	1.01	1
1767	4646	0.95	4.82815223991694
1767	4770	1.01	1
1767	4822	1	1
1767	5088	1	1
1767	7500	1.01	1.04347826086957
1767	7674	1	1
1767	7977	0.65	4.87163050078651
1767	8494	1.01	3.42390289449113
1767	9286	0.83	5.82815223991694
1767	9455	1.01	1.77355324414148
1767	9664	1	1
1767	10425	1	1
