name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
455	094226930fb6d71f02c7b6124105e94b	3.54924578527063e-05	#E68A8A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium; s__	#454294	Bacillus_P_294101	#D100A2	Bacillaceae_H_294103	#F13BBE	Bacillales_B_306089	#CA6575	Bacilli_A	#BB8722	Bacillota_I	#B6860D
493	09f558ae9bced6d66b0039693b77f8af	0.00514481889992094	#8A8AE6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_142742; s__Blautia_A_142742 liquoris	#F70016	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
589	0bfa03f19d0e7a70cee347f2d8677b00	0.0358890762432179	#8AE68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Comamonas_F_589250	#954555	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
647	0d4f8c7adeb1a4f9347c6b77a8b3f5f8	0.00851692339186467	#8AE68A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309	#32FFB5	Blautia_A_142742	#BF3D16	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
654	0d87b112bc336b97248bf4757a668689	0.130290594159742	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium	#FCCE00	Bacillus_A	#5A9D7C	Bacillaceae_G	#B52E5D	Bacillales_B_310392	#A19000	Bacilli_A	#BB8722	Bacillota_I	#B6860D
692	0e3c256f733f8976de04a25593cc6bf9	3.54924578527063e-05	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae	#DC89FB	Unknown	#555555	Oscillospiraceae_88309	#A122E2	Oscillospirales	#B673E4	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
801	107aa7e6b56274803bffd1ccff5b2ee6	3.54924578527063e-05	#E68A8A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium; s__Myroides aquimaris	#5816CE	Acinetobacter	#AE739F	Moraxellaceae	#A84060	Pseudomonadales_A_660879	#539B35	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
1767	238736900471bfe9cdfa1bbdf0cd8151	3.54924578527063e-05	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Sporosarcina	#C7F16D	Sporosarcina	#6885AA	Planococcaceae	#9455C3	Bacillales_A	#637158	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1967	27b4bf43c4374efaf423108a0099e79a	0.0402228179983282	#8A8AE6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334; g__Proteus	#9FF600	Halopseudomonas_650606	#606A32	Pseudomonadaceae	#6A727D	Pseudomonadales_A_650611	#6D5F4F	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
1970	27bbeb5ba76402142c02f75a17004f43	0.0606330812045098	#8A8AE6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_142742; s__	#FFD6DE	Lacrimispora	#AA71C2	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2002	2892f46388f6758c561d38afb6f769b7	0.000272108843537415	#8A8AE6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334	#EA7F68	Anaerococcus	#9E0056	Peptoniphilaceae	#512A53	Tissierellales	#6A00A5	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2170	2c2018d4ecccfa3cb27b99a04c9222b1	0.0968689632363102	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Companilactobacillus	#BAE9BE	Bacteroides_H_857956	#970086	Bacteroidaceae	#A48D5F	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
2300	2e70c54b876665304ae22d5ce482c772	0.085650592304854	#8AE68A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Dysgonomonas; s__Dysgonomonas capnocytophagoides	#840098	Blautia_A_142742	#BF3D16	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2439	3104b6d0a19cead576153e29ab3d5548	3.54924578527063e-05	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Lapidilactobacillus	#CFC5FC	Comamonas_F_589250	#6A0047	Burkholderiaceae_A_595421	#B4837E	Burkholderiales	#1C9ABE	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
2450	313aec37577cdcd2b0ffd21d43eb69ac	0.00932631234311907	#8A8AE6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956	#9D9BFD	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
2559	338542bf1812ae7f592833126884367a	3.54924578527063e-05	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Weissella	#F956B7	Paenibacillus_T_364413	#EA636D	Paenibacillaceae_367444	#496288	Paenibacillales	#6271C2	Bacilli_A	#BB8722	Bacillota_I	#B6860D
2765	37a90abf181b684611b3eabfd5dfa715	3.54924578527063e-05	#E68A8A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium	#941C1C	Proteus	#774DCC	Enterobacteriaceae_A_732334	#0068FE	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
2843	392aa3c45e128c7432f91b3de84541f6	0.00851692339186467	#8AE68A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium	#45FF0D	Enterocloster	#A184BD	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2893	3a6b6eaabaee9f111ba41af0866179ef	0.00441228612657184	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Bacillus_P_294101	#2A7DFF	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
2921	3b332fab259d8f243b936a938c0b5884	0.0500006748011863	#8AE68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029	#BB0060	Secundilactobacillus	#4D684F	Lactobacillaceae	#FF00F0	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
